"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19684145","11.4.1.3.4","92.5","","","","1"
"2021","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19684145","11.4.1.3.4","90.7","","","","1"
"2022","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19684145","11.4.1.3.4","91.8","","","","1"
"2023","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19684145","11.4.1.3.4","86.2","","","","1"
"2024","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19684145","11.4.1.3.4","92.9","","","","1"
"2025","British Columbia","2021A000259","Part-time employment","Total, all industries","Women+","55 years and over","Persons in thousands","428","thousands","3","v19684145","11.4.1.3.4","92.5","","","","1"
"2018","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368566","11.5.1.1.1","127.2","","","","1"
"2019","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368566","11.5.1.1.1","135.6","","","","1"
"2020","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368566","11.5.1.1.1","253.8","","","","1"
"2021","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368566","11.5.1.1.1","188.5","","","","1"
"2022","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368566","11.5.1.1.1","135.3","","","","1"
"2023","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368566","11.5.1.1.1","155.9","","","","1"
"2024","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368566","11.5.1.1.1","171.8","","","","1"
"2025","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 years and over","Persons in thousands","428","thousands","3","v2368566","11.5.1.1.1","194.6","","","","1"
"2018","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684389","11.5.1.1.2","30.0","","","","1"
"2019","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684389","11.5.1.1.2","37.3","","","","1"
"2020","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684389","11.5.1.1.2","70.8","","","","1"
"2021","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684389","11.5.1.1.2","47.7","","","","1"
"2022","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684389","11.5.1.1.2","35.2","","","","1"
"2023","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684389","11.5.1.1.2","38.4","","","","1"
"2024","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684389","11.5.1.1.2","46.8","","","","1"
"2025","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","15 to 24 years","Persons in thousands","428","thousands","3","v19684389","11.5.1.1.2","54.6","","","","1"
"2018","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684390","11.5.1.1.3","71.0","","","","1"
"2019","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684390","11.5.1.1.3","71.6","","","","1"
"2020","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684390","11.5.1.1.3","136.3","","","","1"
"2021","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684390","11.5.1.1.3","95.7","","","","1"
"2022","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684390","11.5.1.1.3","76.1","","","","1"
"2023","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684390","11.5.1.1.3","89.6","","","","1"
"2024","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684390","11.5.1.1.3","100.0","","","","1"
"2025","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","25 to 54 years","Persons in thousands","428","thousands","3","v19684390","11.5.1.1.3","110.6","","","","1"
"2018","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684391","11.5.1.1.4","26.2","","","","1"
"2019","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684391","11.5.1.1.4","26.7","","","","1"
"2020","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684391","11.5.1.1.4","46.8","","","","1"
"2021","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684391","11.5.1.1.4","45.0","","","","1"
"2022","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684391","11.5.1.1.4","24.0","","","","1"
"2023","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684391","11.5.1.1.4","27.9","","","","1"
"2024","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684391","11.5.1.1.4","25.0","","","","1"
"2025","British Columbia","2021A000259","Unemployment","Total, all industries","Total - Gender","55 years and over","Persons in thousands","428","thousands","3","v19684391","11.5.1.1.4","29.4","","","","1"
"2018","British Columbia","2021A000259","Unemployment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368736","11.5.1.2.1","67.2","","","","1"
"2019","British Columbia","2021A000259","Unemployment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368736","11.5.1.2.1","70.1","","","","1"
"2020","British Columbia","2021A000259","Unemployment","Total, all industries","Men+","15 years and over","Persons in thousands","428","thousands","3","v2368736","11.5.1.2.1","134.5","","","","1"
